feature_set,subset,mean_spearman,std_spearman,mean_rmse,mean_r2,mean_n
mutation_only,IDR,0.12194288467537884,0.15410753446585299,1.0398133158461127,-0.20037848415283896,2362.6
mutation_plus_region,IDR,0.11042680327463553,0.13432200928160634,1.0415449141271895,-0.19819195283603902,2362.6
mutation_plus_region,all,0.20826332249791588,0.03912047771217101,1.0400326511022988,-0.08192936475187232,9741.2
mutation_only,all,0.20805825271960537,0.030022738404199136,1.0429487095840964,-0.08805852405680223,9741.2
mutation_plus_region,ordered,0.22664629849307377,0.032815623506821774,1.0431039051058044,-0.0702654543190965,7378.6
mutation_only,ordered,0.2211345390168637,0.030058266702638402,1.0478209970986403,-0.07992357314675055,7378.6
